Level	Rule Name	Subject	Property	Value
WARN	missing_definition	APOLLO_SV:00000140	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000141	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000144	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000158	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000163	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000168	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000169	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000170	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000176	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000182	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000196	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000197	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000200	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000202	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000236	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000250	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000251	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000252	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000253	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000273	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000274	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000275	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000276	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000288	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000289	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000307	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000319	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000320	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000321	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000324	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000329	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000385	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000386	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000395	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000488	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000561	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000562	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000565	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000590	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000606	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000793	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000794	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00000795	IAO:0000115	
WARN	missing_definition	APOLLO_SV:00001008	IAO:0000115	
WARN	missing_obsolete_label	APOLLO_SV:00000004	rdfs:label	basis of@en
WARN	missing_obsolete_label	APOLLO_SV:00000011	rdfs:label	control strategy reactive start time information@en
WARN	missing_obsolete_label	APOLLO_SV:00000076	rdfs:label	μ@en
WARN	missing_obsolete_label	APOLLO_SV:00000077	rdfs:label	σ@en
WARN	missing_obsolete_label	APOLLO_SV:00000079	rdfs:label	deprecated log normal distribution@en
WARN	missing_obsolete_label	APOLLO_SV:00000095	rdfs:label	deprecated discrete probability distribution
WARN	missing_obsolete_label	APOLLO_SV:00000116	rdfs:label	causally_precedes@en
WARN	missing_obsolete_label	APOLLO_SV:00000125	rdfs:label	school calendar@en
WARN	missing_obsolete_label	APOLLO_SV:00000143	rdfs:label	vaccine disposition@en
WARN	missing_obsolete_label	APOLLO_SV:00000146	rdfs:label	beta@en
WARN	missing_obsolete_label	APOLLO_SV:00000148	rdfs:label	random number seed@en
WARN	missing_obsolete_label	APOLLO_SV:00000161	rdfs:label	MIDAS scenario@en
WARN	missing_obsolete_label	APOLLO_SV:00000198	rdfs:label	agent model ecosystem census description@en
WARN	missing_obsolete_label	APOLLO_SV:00000199	rdfs:label	compartment model population and environment census@en
WARN	missing_obsolete_label	APOLLO_SV:00000249	rdfs:label	nonparametric probability distribution@en
WARN	missing_obsolete_label	APOLLO_SV:00000370	rdfs:label	deprecated homeostasis@en
WARN	missing_obsolete_label	APOLLO_SV:00000399	rdfs:label	deprecated infection case count@en
WARN	missing_obsolete_label	APOLLO_SV:00000435	rdfs:label	closure period@en
WARN	missing_obsolete_label	APOLLO_SV:00000475	rdfs:label	gonotrophic period duration@en
WARN	missing_obsolete_label	APOLLO_SV:00000496	rdfs:label	ORCID@en
WARN	missing_xrefs	APOLLO_SV:00000000	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000001	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000002	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000003	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000005	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000006	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000007	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000008	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000009	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000010	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000012	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000013	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000014	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000015	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000016	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000017	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000018	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000019	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000020	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000021	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000022	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000023	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000024	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000025	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000026	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000027	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000029	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000030	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000031	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000032	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000033	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000034	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000035	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000036	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000037	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000038	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000039	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000040	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000041	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000042	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000043	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000044	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000046	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000047	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000048	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000049	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000050	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000051	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000052	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000053	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000054	oboInOwl:hasDbXref	
WARN	missing_xrefs	APOLLO_SV:00000055	oboInOwl:hasDbXref	
